gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
KRTAP5-6,4,4,-1.7949841959702661,-1.6885162025007183,0.0913121813858212,0.4857099152247926,0.8935814926821782
WDR83,4,4,-1.7948183965859696,-2.0937992019981393,0.0362778712953648,0.32861561804185185,0.6683804761165194
ATAD3A,4,4,-1.7943606436420292,-1.6726668420630284,0.09439290022345775,0.4931759312529074,0.9040477705232224
UPF1,4,4,-1.793718216037542,-1.4039754630353691,0.16032615631688357,0.6083608945174898,1.1198360819414304
NRF1,4,4,-1.7935221755255,-1.013527093959754,0.31080846141682045,0.7642788169979178,1.620599732499833
ARPC2,4,4,-1.7928394591535262,-3.154618754914639,0.001607079589861108,0.179858525584026,0.329755752005512
CDK18,4,4,-1.7925886041600956,-0.8769633115534663,0.38050656600067445,0.8057652299052226,1.8942150438748881
NDC1,4,4,-1.791788482167602,-3.387110370740191,7.063296611595882e-4,0.179858525584026,0.2815326992074682
CLPX,4,4,-1.7907962038845682,-2.751208038456551,0.005937592183213889,0.18470423896246185,0.4303735157104069
RMND1,4,4,-1.790708581559021,-3.2547972067434943,0.0011347336052548343,0.179858525584026,0.30787673217033806
ZNF431,4,4,-1.7904990029050003,-1.8403239912384015,0.06572068516629939,0.42210088480358193,0.7968754178919708
LIG3,4,4,-1.7870606299957272,-1.9974228350781753,0.04577926926304127,0.3639680421898951,0.7114093483772911
SUGP1,4,4,-1.7848742227124867,-1.8012719571566587,0.07166002558348694,0.4357348008105826,0.8172311337557926
TMEM240,4,4,-1.784339204584876,-2.086886499925097,0.0368983955032406,0.33023102371870794,0.6676416976349657
MAP1LC3B2,4,4,-1.7808629070744253,-1.589610481014654,0.11192263308779062,0.530812208933971,0.9564564267979375
DDX24,4,4,-1.780348720775259,-1.4469177009324026,0.1479199748991346,0.5899485409893052,1.0722994739331846
STOML2,4,4,-1.7748525228031533,-1.176872856611756,0.23924625741207486,0.7048816214048291,1.3585458792559764
TOMM70,4,4,-1.773755342614423,-2.5820835250969196,0.009820581381502306,0.2047907710216673,0.47646572141379134
NDUFB4,4,4,-1.7677969007507046,-1.5699806319630232,0.11641961722365629,0.5395179637078444,0.9641570188055941
KDM4A,4,4,-1.7674097066722694,-2.5226442711876946,0.011647616078519385,0.21488502520148745,0.4937342960053227
CARNMT1,4,4,-1.7672966119960807,-2.3353994674502507,0.01952256222628876,0.25894152104861695,0.5589678062647392
WDR44,4,4,-1.7666635433192643,-1.9157574443904597,0.05539597677980535,0.39257816247401545,0.744909868189278
ZNF492,4,4,-1.7665271983523414,-1.287404066047653,0.19795348785482733,0.6614484289107194,1.2205291454227254
SMG6,4,4,-1.766142061001288,-2.0242748112225324,0.042941883845356556,0.35255507986954465,0.6900540545987024
PDCD5,4,4,-1.7646143370909362,-2.5385544974797156,0.011131146511466803,0.21162224373940525,0.48780646122649834
MSTO1,4,4,-1.764419466165679,-1.2687321778178118,0.20453660179427308,0.6704071304650127,1.2397696526217188
ZNF506,4,4,-1.7631254543265704,-0.9517853205759872,0.3412058682325579,0.7823670758003552,1.7059337215702615
CNOT1,4,4,-1.7622181893416073,-2.144277371596311,0.0320106688148834,0.31458025417583896,0.6339651666151904
FETUB,4,4,-1.7602613430116762,-0.9623911156786528,0.3358531747728864,0.777326438536471,1.6828299500428423
MRPS31,4,4,-1.7600057147778196,-2.0228541021874644,0.04308819180295172,0.3531494896783088,0.688335742246461
