gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
SEC24B,3,3,0.05408061564918782,0.21144782045812885,0.8325378448484193,0.963432274568424,0.23967142343047418
FKBP5,3,3,0.054136471802897206,0.3423935347837135,0.7320547533034529,0.9414135223515362,0.14742048771992003
FAM219B,3,3,0.05415272658782955,0.2011106009782759,0.8406120929613383,0.9638413074619651,0.2524012211133347
C7orf25,3,3,0.054172361822378744,0.17273153681508474,0.8628624535802722,0.9701292573060473,0.2941922029573315
ZNF23,3,3,0.05419434981069213,0.22554036562594038,0.8215589269502052,0.9603276389166083,0.22507245202174997
SMR3A,3,3,0.05424200970902043,0.18970472133625724,0.8495405209050609,0.9667368596924729,0.26810057265705134
RNF186,3,3,0.05424944527703969,0.18531538943063355,0.8529816680645308,0.9672901839921153,0.27451963273334123
ZNF541,3,3,0.054369288581678346,0.16367977065010667,0.8699832434359911,0.972386045917995,0.3116557785336101
MINDY4,3,3,0.054393187133418675,0.21413947793455285,0.8304382908159564,0.9625627342885147,0.23800778166914732
KLF11,3,3,0.054422089895301486,0.23351465668278687,0.8153617897269845,0.9586421814665765,0.21824462445901222
SHROOM4,3,3,0.05442880129858893,0.19990950019047934,0.8415513603408844,0.963915243816112,0.25522070659650276
ZC3H7B,3,3,0.05443012503634424,0.26734519445805016,0.7892033925052848,0.9523343139974454,0.19043179278043104
EPHA3,3,3,0.054431287435410224,0.2498341273533115,0.8027156266211203,0.9550623411261211,0.20391161604405997
DEFB112,3,3,0.05449117606051091,0.10728907183362421,0.9145596539133707,0.9851429742165344,0.47703064395968103
SPRYD4,3,3,0.05466160848247744,0.3354539553425041,0.7372826727743875,0.9426112632655164,0.15197943490802804
ATXN7L3B,3,3,0.05466505587196094,0.21317184604806172,0.8311929271614185,0.9629058994358172,0.24029004295854162
ZNF579,3,3,0.054703424815191026,0.2107392946867332,0.8330907103828463,0.9635106383336363,0.24325167087550068
A1CF,3,3,0.05472428386023013,0.1064670103521875,0.9152118285338435,0.9853637461967343,0.4827762430694334
PAAF1,3,3,0.05472634632170501,0.24254454249837637,0.8083582470369812,0.9566469321526593,0.21123120935172499
OR4C46,3,3,0.05472911198409823,0.26312129224867925,0.7924570931696697,0.953164670566831,0.1945818696367393
TBC1D4,3,3,0.05473509660505902,0.15147855367539062,0.8795982273026782,0.9757937951022021,0.33911486610643493
CFAP36,3,3,0.054740050054387646,0.24981721641187274,0.8027287050346519,0.9550623411261211,0.2050823107892213
ZSCAN2,3,3,0.054806170785895114,0.1402826607008923,0.8884366636060834,0.9783194776169932,0.3667378179300507
SNCAIP,3,3,0.054898714860992376,0.2281230996150282,0.819550542606358,0.9603276389166083,0.22539811446111152
JKAMP,3,3,0.05495241412144983,0.25215407444788385,0.800921974559507,0.9545801889017131,0.2039533569555643
DES,3,3,0.055041571155020313,0.24491468788643211,0.8065224886923408,0.9558729449489373,0.2103751126671826
EMILIN3,3,3,0.05510679566781047,0.2649803898635439,0.7910245686204928,0.9529155960198765,0.19453682794696708
CARD14,3,3,0.05517528286684344,0.20955719519962793,0.8340132910462985,0.9635106383336363,0.2467423916624815
GPM6B,3,3,0.05527186189660453,0.1902105546942954,0.8491441406589216,0.9667368596924729,0.27246066625603116
OSR1,3,3,0.05532635683466198,0.16185409472187418,0.8714207531698775,0.9729113821467839,0.3207323627921512
CDKN2AIPNL,3,3,0.055346803173495926,0.37150461851797434,0.7102617166228725,0.9369127392906029,0.13870579003855307
OR51B5,3,3,0.05534852073589308,0.1892555784047912,0.8498925093842994,0.9667368596924729,0.27422216480466466
ZNF514,3,3,0.055433798333416225,0.20306619507793253,0.8390832936419174,0.9635106383336363,0.25586997488860996
RALGPS1,3,3,0.055484410954405615,0.36293324962281553,0.7166547481745298,0.9378525398319358,0.14239689694968263
NKX6-1,3,3,0.05561517072055608,0.17334190150332981,0.8623826895366188,0.9697892333747707,0.30095973414899535
OPN3,3,3,0.05567350251137708,0.265814615498266,0.7903819865054067,0.9525600441945324,0.19591458246803453
KIAA0895,3,3,0.055722735895786794,0.18078549217955858,0.8565359510335097,0.9679395129292452,0.28907351357759886
DLX2,3,3,0.05575333530938363,0.14519162343558092,0.8845595793850752,0.9774758442422966,0.3604270861187993
SERPINE2,3,3,0.055816995263904705,0.2052957880244808,0.8373410346475281,0.9635106383336363,0.25482460312650135
APOL4,3,3,0.05582348179656195,0.18467287211996963,0.8534856250789614,0.9672901839921153,0.2834722542269328
SERPINH1,3,3,0.055870090621485416,0.22301632706031332,0.8235227993358635,0.960451715207856,0.2346763831439989
PCDHA7,3,3,0.05591745305172607,0.22252682572878046,0.8239037928045401,0.9605857163563575,0.23539554463212217
UNC5D,3,3,0.055948557946929905,0.11758280912555073,0.9063982267742899,0.982975537925455,0.44683906045527866
FCAMR,3,3,0.05598364721274207,0.1465863014636959,0.8834585667234742,0.9771508834098218,0.3584624789534866
RSPH4A,3,3,0.056024447378697814,0.3063117918477436,0.7593672618593768,0.9473257768117479,0.17080990067190369
BBS10,3,3,0.056064308085204566,0.2087132290296156,0.8346721123015501,0.9635106383336363,0.25173806184187614
RFLNA,6,6,0.05611885209629536,0.24982238632050754,0.802724706776929,0.9550623411261211,0.21874165059121242
TMEM54,3,3,0.056271725503184634,0.16495021834211457,0.8689831652079759,0.9721053615974264,0.32006731902522156
HIST1H2BI,3,3,0.056374900063103986,0.17854299891693293,0.8582965553901564,0.9686424756849835,0.29614651505050377
CYB5R3,3,3,0.056449439806878506,0.2990540608742939,0.7648987972174148,0.9485474808341331,0.17633620918922954
OR52M1,3,3,0.05657378168134383,0.23073144785981192,0.8175234407694423,0.9597190945248428,0.22963060873065483
MC3R,3,3,0.05662869095034517,0.14672508789475186,0.8833490156369005,0.9771078076027979,0.362248690090783
SLC5A7,3,3,0.05664680623838253,0.21785269889200717,0.8275438827363342,0.9616659779130492,0.24361702118727066
LPCAT4,3,3,0.05666708217135442,0.22872220693727235,0.8190848336275682,0.9602993477196963,0.2320446976001756
ZNF3,3,3,0.05668137923252628,0.3593186266337435,0.7193567414797433,0.9391005215865542,0.14695886093209554
MS4A3,3,3,0.05674067424655813,0.20547108027161284,0.8372040906543557,0.9635106383336363,0.2588192441252299
OLFML2A,3,3,0.05674663052923332,0.3513345692797284,0.7253373633464745,0.93999777570974,0.1505308504721241
FAM50B,3,3,0.056782401638130656,0.21419973910555312,0.8303912995242085,0.9625627342885147,0.248391901863628
TIMM29,3,3,0.05679723226049072,0.21974741581737733,0.8260678746274165,0.9609499224384367,0.24214393833333278
CORO6,3,3,0.05687736297655777,0.11722161674149992,0.9066844373270394,0.982975537925455,0.45565942464945475
AKR1B10,3,3,0.056949070711117385,0.16082862772097195,0.8722283770746025,0.9730443842949138,0.33225202028314643
IL22,3,3,0.05705803175874591,0.18826901321503875,0.8506657748491893,0.9668953266379752,0.2841805583189243
GLOD4,3,3,0.05717205767526721,0.3074917157032015,0.7584691277156579,0.9471689922995616,0.1736311940537228
NADSYN1,3,3,0.05723854637010199,0.2270659050925625,0.8203724954092431,0.9603276389166083,0.23610680761832795
TXNDC2,3,3,0.05726330780772206,0.24162768460451026,0.8090686683999135,0.9568671190576111,0.22186880046180738
TBC1D15,3,3,0.05726914350086318,0.20466090128370343,0.8378370699965532,0.9635106383336363,0.26226997459914897
ZNF662,3,3,0.05737752561396567,0.24988923748218436,0.8026730064882842,0.9550623411261211,0.21490105993006517
XPNPEP2,3,3,0.05739397728014454,0.2516818550828751,0.8012869831694402,0.9546539785610945,0.21341829591661196
SHBG,3,3,0.05746455608280859,0.16657497818826297,0.8677044831071803,0.9713765169742758,0.32365185290580983
SST,3,3,0.057465658579311615,0.2578923966800723,0.7964899530050837,0.9541155523685388,0.20849316655888542
SLC17A4,3,3,0.05748767243538253,0.16470682714934148,0.8691747430898357,0.9721053615974264,0.3274684994060959
VCX,3,3,0.057514701462407516,0.2370503622369181,0.8126177200662805,0.9581147462792293,0.22718030174358456
ATG101,3,3,0.05753911074998153,0.21546328708336066,0.8294061325018465,0.9623689543968383,0.2502166177821875
ASIP,3,3,0.057717487604831565,0.137920535873248,0.8903032202315784,0.9790816785485936,0.39285153647559284
IGFBP6,3,3,0.0577472109674295,0.30327751011673393,0.7616783839134659,0.9473900946945367,0.17784666353768688
DDX28,3,3,0.057848363302655616,0.200420794744775,0.8411514975581483,0.963915243816112,0.2705594526852322
CELSR2,3,3,0.05789328749298331,0.1512668833349245,0.87976519191074,0.9758071720113373,0.359185145855886
HBM,3,3,0.0578953782137604,0.2760880884592918,0.7824804092875567,0.9519310941688651,0.19607655558458184
KIAA1211L,3,3,0.05790142464251119,0.09314829133425842,0.9257857532376309,0.9867181300933253,0.5839491880351789
RAP2B,3,3,0.057962017893534244,0.18515389378176303,0.8531083311777851,0.9672901839921153,0.293563488265654
PRDM7,3,3,0.05796469242706742,0.2036716115788931,0.8386101278541287,0.9635106383336363,0.26675216423169884
ACSBG1,3,3,0.05807420527238765,0.17935092360942917,0.8576621637673171,0.9684702557317811,0.30369289599989907
TMEM132D,3,3,0.05808369931318944,0.22081187424220153,0.8252389174741663,0.9609499224384367,0.24642680368486936
TDGF1,3,3,0.058138998019722894,0.11635932712226128,0.9073677686278653,0.982975537925455,0.4692248483623247
BMP8A,3,3,0.05821503727300834,0.22662238126716103,0.8207173873071572,0.9603276389166083,0.2406081177882999
ZNF808,3,3,0.058239300734004684,0.2293612408378256,0.8185881585319994,0.9602531980097905,0.23781346820488822
CDA,3,3,0.05825259166193986,0.29747409632094163,0.7661045815269629,0.9486884207705404,0.18294732479971662
OR5L2,3,3,0.05827310447102474,0.20073439778560415,0.8409062615752897,0.9638773901407063,0.2721178237279129
PCGF5,3,3,0.058313579024076925,0.31278713699047017,0.7544423885895588,0.9469822879485758,0.1740600743887379
