gene,sgRNA,B1,B2,B3,A1,A2,A3
PSMB2,PSMB2-6,6266,6411,6253,2047,2017,1967
RPL5,RPL5-2,4128,4217,3668,904,762,726
PSMD7,PSMD7-2,4186,3959,3625,724,971,618
RPL18A,RPL18A-4,3527,3296,3269,620,461,424
PSMD6,PSMD6-12,3955,4097,3740,940,797,618
NUP205,NUP205-5,3660,3883,3559,568,832,658
POLA1,POLA1-4,5700,5839,5595,1870,1843,1534
PSMB2,PSMB2-23,3678,3612,3438,576,690,626
COPB1,COPB1-5,5226,5465,4583,1393,1495,1313
RPS11,RPS11-7,6741,6096,5870,2222,2299,1653
PSMA3,PSMA3-11,4300,4270,3972,1e3,877,928
NUP54,NUP54-11,4226,4353,4328,1045,926,1049
RPS19,RPS19-5,3896,3623,3860,900,814,571
RPS19,RPS19-7,2624,2631,2475,208,208,179
POLR2A,POLR2A-7,2150,2296,2345,102,55,79
NUP98,NUP98-14,4653,4398,4544,1218,1197,1049
POLR2A,POLR2A-1,5143,5002,4656,1387,1452,1267
COPS4,COPS4-2,4335,4023,3886,1038,1012,740
RPL5,RPL5-3,3026,2834,2775,295,399,347
RPL3,RPL3-4,2981,2829,2624,328,321,293
PSMC2,PSMC2-3,6410,6453,5709,2149,2022,2042
NUP205,NUP205-1,4560,4644,4157,1168,1030,1169
RPS9,RPS9-7,3333,3093,3105,476,524,466
PSMC4,PSMC4-6,2739,2763,2378,235,251,228
RPL11,RPL11-10,3817,3904,3824,923,829,723
COPZ1,COPZ1-4,2529,2353,2495,327,180,109
RPS19,RPS19-6,7796,7344,7699,2985,3181,2715
COPB1,COPB1-2,4368,4098,4095,1135,906,1024
NUP205,NUP205-2,6203,5817,5726,2224,2030,1708
RPL11,RPL11-5,2979,2672,2615,415,356,249
NUP98,NUP98-1,5317,5407,4959,1518,1761,1606
COPZ1,COPZ1-12,3639,3581,3249,835,839,510
COPB1,COPB1-7,2719,2460,2636,351,358,199
RPL9,RPL9-9,2744,2735,2424,451,297,220
RPL36,RPL36-10,2841,2982,2655,416,329,457
PSMD7,PSMD7-8,3327,3402,3164,777,652,494
COPS8,COPS8-4,5645,5989,5298,2116,1922,1654
COPS8,COPS8-12,3354,3347,3010,710,597,519
NUP133,NUP133-2,3572,3665,3488,768,862,702
POLA1,POLA1-7,3918,3590,3550,911,907,692
RPL34,RPL34-3,4847,4877,4590,1425,1333,1483
COPS6,COPS6-5,2988,2957,2888,434,478,516
POLR2D,POLR2D-7,3032,3189,2844,658,444,455
RPL11,RPL11-1,2455,2505,2478,382,232,211
COPZ1,COPZ1-2,3287,3280,3159,686,555,634
PSMA3,PSMA3-3,4401,4085,3881,1219,1077,938
COPA,COPA-9,3458,3696,3394,695,840,766
PSMD6,PSMD6-19,6209,5757,5635,2265,2016,1908
PSMD7,PSMD7-4,3485,3287,3008,653,682,609
RPL30,RPL30-7,4620,4509,3900,1272,1218,1138
COPA,COPA-2,3367,3477,3357,717,641,822
PSMC4,PSMC4-4,2687,2376,2577,366,292,330
PSMB2,PSMB2-21,4319,4592,4080,1459,1171,1079
NUP133,NUP133-1,5202,4985,4944,1760,1668,1471
RPS8,RPS8-10,2975,2663,2714,418,494,419
PSMC1,PSMC1-1,4717,4607,4291,1421,1476,1167
RPL36,RPL36-6,2353,2401,2138,253,191,239
PSMC2,PSMC2-13,4505,4800,4251,1577,1095,1399
POLR2F,POLR2F-6,7074,7101,6239,2732,2785,2548
PSMD6,PSMD6-10,5577,5472,5295,2161,1911,1635
RPL3,RPL3-9,5473,5541,5203,1943,1888,1776
COPS2,COPS2-6,2920,3054,2617,597,548,410
PSMB2,PSMB2-14,2938,2901,2677,526,490,503
PSMD1,PSMD1-2,6333,6209,6016,2400,2641,2054
RPS11,RPS11-3,4811,4839,4468,1647,1529,1321
POLR2D,POLR2D-8,2766,2774,2774,466,575,426
RPL35A,RPL35A-2,4821,4448,4191,1756,1471,1025
PSMD6,PSMD6-8,4357,4425,4152,1394,1341,1167
RPS13,RPS13-10,2612,2650,2749,399,435,515
RPL30,RPL30-4,6591,6389,6146,2605,2697,2239
PSMC2,PSMC2-1,3602,3425,3164,1001,827,683
POLR2D,POLR2D-3,2536,2352,2295,275,412,329
RPS9,RPS9-3,2463,2336,2322,423,337,266
COPS6,COPS6-2,2810,3050,2595,586,530,527
RPL18A,RPL18A-1,6062,6073,5598,2244,2530,2047
PSMC2,PSMC2-9,7153,7056,6114,2976,2841,2559
COPA,COPA-1,3615,3632,3753,1002,967,1018
RPL18A,RPL18A-2,4205,4222,3962,1436,1096,1258
RPS7,RPS7-3,5075,4992,4867,1745,1914,1580
PSMD1,PSMD1-18,2727,2787,2594,552,530,452
COPB1,COPB1-8,3440,3428,3216,908,784,843
NUP98,NUP98-6,7213,7370,6225,3245,2985,2558
COPA,COPA-6,1996,2030,1900,223,228,122
NUP205,NUP205-7,4443,4583,4345,1384,1572,1428
PSMC2,PSMC2-4,3054,2822,2769,598,803,503
PSMD7,PSMD7-9,3546,3752,3402,1133,873,962
PSMD6,PSMD6-14,3306,3374,3056,752,918,778
NUP98,NUP98-7,4239,4400,4110,1388,1623,1128
COPA,COPA-4,2968,2832,2721,600,642,609
POLR2D,POLR2D-6,3486,3542,3210,1022,982,767
NUP54,NUP54-15,5579,5228,5390,2182,2133,1863
PSMB3,PSMB3-6,2739,2740,2688,558,626,536
PSMD1,PSMD1-9,6082,6262,5757,3048,2323,2078
RPS8,RPS8-6,2356,2695,2516,440,496,505
RPL9,RPL9-2,3932,3914,3818,1147,1398,1087
PSMC4,PSMC4-7,4222,4117,3959,1490,1341,1173
COPA,COPA-10,5e3,4995,4681,1938,1825,1632
PSMD6,PSMD6-3,4132,3950,3837,1297,1333,1180
RPS27,RPS27-1,3401,3226,3383,1009,958,805
POLA1,POLA1-1,1981,3313,3462,728,788,501
PSMD11,PSMD11-8,2569,2700,2436,585,542,459
RPL34,RPL34-4,1798,1839,1879,190,172,205
POLR2A,POLR2A-3,4579,4482,4727,1593,1841,1521
RPL27,RPL27-1,3148,3023,3032,796,825,758
COPA,COPA-7,3051,3007,2706,725,826,611
NUP133,NUP133-3,3616,3557,3407,1135,1084,959
PSMA3,PSMA3-1,5428,5414,5062,2118,2278,1987
RPL11,RPL11-3,2433,2184,2227,372,533,423
NUP54,NUP54-8,4993,5026,4296,1832,2026,1614
PSMD11,PSMD11-3,2993,3106,2857,926,896,634
NUP205,NUP205-8,1734,1967,1695,195,209,249
PSMD1,PSMD1-19,4040,4091,4261,1698,1270,1439
NUP98,NUP98-5,3342,3205,3049,863,970,988
PSMD6,PSMD6-13,2093,2184,2106,452,363,380
PSMB2,PSMB2-16,1831,1785,1777,256,286,197
COPS4,COPS4-8,3238,3410,2998,1075,1026,841
COPS6,COPS6-6,2794,2954,2631,711,854,740
PSMB2,PSMB2-20,1496,1568,1583,120,271,110
PSMD6,PSMD6-17,2617,2696,2386,792,683,508
PSMB3,PSMB3-1,6179,6415,5702,2818,3076,2407
PSMD6,PSMD6-9,4094,4375,3941,1549,1720,1382
RPL36,RPL36-2,2915,2846,2705,749,889,759
POLR2A,POLR2A-4,2723,2708,2829,865,770,670
PSMD11,PSMD11-6,2989,3289,2988,977,1035,841
POLR2A,POLR2A-10,4369,4163,4134,1706,1503,1617
RPL36,RPL36-7,3478,3876,3208,1242,1098,1345
RPS19,RPS19-9,1611,1618,1520,190,285,177
PSMD1,PSMD1-8,2675,2648,2279,741,646,746
COPS6,COPS6-7,4737,4691,4380,2113,1849,1825
PSMB2,PSMB2-9,4780,4904,4592,2224,2108,1815
COPB1,COPB1-4,3018,2709,2968,914,944,940
NUP93,NUP93-8,5344,5580,5140,2706,2710,1965
RPS8,RPS8-2,2204,2047,1994,542,535,437
RPS7,RPS7-1,4346,4349,3754,1844,1984,1342
POLR2F,POLR2F-8,7469,7422,7623,4114,3914,3779
PSMD6,PSMD6-6,4206,3985,4108,1794,1751,1602
