gene,fdr
PARN,0.03250172413793103
UTP14A,0.03250172413793103
TAF13,0.03250172413793103
PELP1,0.032646983240223464
SMC3,0.032646983240223464
BANF1,0.032646983240223464
RPL23,0.032646983240223464
SDF2,0.032646983240223464
BET1,0.032646983240223464
COG3,0.032646983240223464
RPL32,0.032646983240223464
INTS11,0.032646983240223464
RPS10-NUDT3,0.032646983240223464
BRCA2,0.032873678474114446
EIF3B,0.032873678474114446
DDX18,0.032873678474114446
LIN9,0.032873678474114446
LCMT1,0.032873678474114446
ACTR6,0.032873678474114446
DDX1,0.032873678474114446
NELFCD,0.032873678474114446
TEN1,0.032873678474114446
NOP10,0.03329660326086956
ACTR1A,0.033872890625
MRPL55,0.033872890625
CDKN2D,0.033872890625
GART,0.033872890625
TMA16,0.033872890625
KARS,0.033872890625
AGK,0.033872890625
NUTF2,0.033872890625
TEFM,0.033872890625
CDK9,0.033872890625
ACTL6A,0.033872890625
CDSN,0.033872890625
NUF2,0.033872890625
TFAM,0.033872890625
AP2A1,0.033872890625
SDHA,0.033872890625
PRPF19,0.03388407594936709
FCF1,0.03388407594936709
SKA3,0.03388407594936709
KAT7,0.03388407594936709
SLC39A10,0.03388407594936709
RPS3A,0.03388407594936709
PSMG1,0.03388407594936709
MRPS10,0.03388407594936709
WDR12,0.03388407594936709
LTV1,0.03388407594936709
HEATR1,0.03388407594936709
HBS1L,0.034188211586901766
DHODH,0.034188211586901766
ZC3H13,0.03496175438596491
NDUFA2,0.03496175438596491
MRPS14,0.03516977611940299
PPP1R7,0.03516977611940299
RPS11,0.03516977611940299
MED31,0.03546227722772277
NOL6,0.03546227722772277
NOL7,0.03548965770171149
TP53RK,0.03548965770171149
SEPHS2,0.03548965770171149
COG6,0.03548965770171149
TRMT10C,0.03548965770171149
RUVBL1,0.03577562043795621
NCAPD2,0.03577562043795621
CDAN1,0.03689217183770883
GLRX3,0.03689217183770883
TBCA,0.03689217183770883
SKA1,0.03689217183770883
RPS27,0.03689217183770883
ALG2,0.03689217183770883
DDX51,0.03689217183770883
FBXO42,0.03689217183770883
