gene,fdr,stat
RAD9A,2.339178810966248e-5,-4.33209036337611
TPI1,2.339178810966248e-5,-4.330611473581708
CHAF1B,2.339178810966248e-5,-4.326526196310976
MRPS17,2.339178810966248e-5,-4.317735071914232
HSPA9,2.339178810966248e-5,-4.314724181475558
SRF,2.339178810966248e-5,-4.313874805061985
COG4,2.339178810966248e-5,-4.313786538360859
SNRPG,2.339178810966248e-5,-4.311397906814179
MRPL19,2.339178810966248e-5,-4.3103393183819625
MIPEP,2.339178810966248e-5,-4.309201816838763
HEATR1,2.339178810966248e-5,-4.304507009286411
SCFD1,2.339178810966248e-5,-4.30205927505996
UTP14C,2.339178810966248e-5,-4.298800349191521
ATXN10,2.339178810966248e-5,-4.29473794761311
RARS,2.339178810966248e-5,-4.294687289312205
SKA3,2.339178810966248e-5,-4.290356779863775
USO1,2.339178810966248e-5,-4.275022679112458
MED11,2.339178810966248e-5,-4.273194756703968
COG3,2.339178810966248e-5,-4.271938447733298
MRPS22,2.339178810966248e-5,-4.264413797791456
DHX29,2.339178810966248e-5,-4.2610598336833885
NELFCD,2.339178810966248e-5,-4.260892958384533
PGGT1B,2.339178810966248e-5,-4.26060504333317
DHODH,2.339178810966248e-5,-4.260091010670818
TTC4,2.339178810966248e-5,-4.2590408156450295
ACTL6A,2.339178810966248e-5,-4.256589622320791
ATP6V1A,2.339178810966248e-5,-4.255692041291717
MRPS21,2.339178810966248e-5,-4.25479504397733
TIMM9,2.339178810966248e-5,-4.254028204190336
SF3A2,2.339178810966248e-5,-4.251820747776247
PGS1,2.339178810966248e-5,-4.250685625513781
KIF18A,2.339178810966248e-5,-4.246463601172147
MNAT1,2.339178810966248e-5,-4.244508315581187
SRP68,2.339178810966248e-5,-4.244313437499317
BRCA1,2.339178810966248e-5,-4.237820430884008
SUPT5H,2.339178810966248e-5,-4.2371907836912985
SSRP1,2.339178810966248e-5,-4.230431302825869
FAM149B1,2.339178810966248e-5,-4.227526060669776
NSA2,2.339178810966248e-5,-4.2260950048993084
PFDN4,2.339178810966248e-5,-4.225181249487696
NUP214,2.339178810966248e-5,-4.224744624266561
CUL1,2.339178810966248e-5,-4.222843524785649
NSMCE1,2.339178810966248e-5,-4.221388013741381
BRAT1,2.339178810966248e-5,-4.219233468801066
TTI1,2.339178810966248e-5,-4.218884281381381
DDX23,2.339178810966248e-5,-4.217889230984304
MRPL45,2.339178810966248e-5,-4.211694555742816
TBCA,2.339178810966248e-5,-4.2105980771433655
PIK3R4,2.339178810966248e-5,-4.2096651523679025
TARS2,2.339178810966248e-5,-4.208741875278671
LSG1,2.339178810966248e-5,-4.208242294351408
OXSM,2.339178810966248e-5,-4.2079816481838686
HNRNPL,2.339178810966248e-5,-4.206964363164051
POLR2H,2.339178810966248e-5,-4.2064859787052855
SF3A1,2.339178810966248e-5,-4.204188741026244
GTF2E1,2.339178810966248e-5,-4.203188980508172
TSG101,2.339178810966248e-5,-4.20175517036432
ASH2L,2.339178810966248e-5,-4.201153459741117
HYPK,2.339178810966248e-5,-4.1990014700559986
UPF1,2.339178810966248e-5,-4.197339025715162
