sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
POLR2A-1,POLR2A,5150.5/5104.6/5076.4,3169.4/3329.1/2790.5,5110.4,3087.9,-0.72665,1399.7,36640,10.566,2.1345e-26,1,4.2689e-26,1.1721e-25,False
TAAR8-9,TAAR8,5654.1/4948.6/5714.2,7881.6/6942/7763.6,5427.5,7517.2,0.46983,181450,39188,10.556,1,2.3815e-26,4.7629e-26,1.304e-25,True
TAS2R9-1,TAS2R9,7122.7/6547.9/7194.7,9386.6/9563.9/9097.7,6949,9347.4,0.42771,125690,51650,10.553,1,2.449e-26,4.898e-26,1.3372e-25,True
LUZP4-4,LUZP4,5063.4/5679.9/5307.3,7152.1/7261/7846.4,5344.2,7413.7,0.47213,96458,38517,10.544,1,2.6951e-26,5.3901e-26,1.4674e-25,True
COPS6-7,COPS6,4940.9/4811.9/4194.7,2886.6/2844.7/2471.6,4637.4,2727.7,-0.7654,159250,32873,10.533,3.0515e-26,1,6.103e-26,1.6568e-25,False
PSMD11-10,PSMD11,2963/2496/2858.5,1366.3/1117.7/1571,2765.1,1338.7,-1.0459,60157,18458,10.499,4.377e-26,1,8.7539e-26,2.3697e-25,False
PSMD6-19,PSMD6,6031.3/6659.7/6112.5,3276.6/4620.6/4307.5,6261.7,4025.2,-0.63738,116870,45976,10.431,8.9764e-26,1,1.7953e-25,4.8463e-25,False
RPL5-8,RPL5,4254.5/4456.4/4541.1,2592.1/2496.1/2669.1,4415.7,2584.8,-0.77234,21686,31123,10.378,1.5607e-25,1,3.1213e-25,8.4022e-25,False
TAS2R13-7,TAS2R13,5011.7/5623.6/5305.8,6172.2/7304.4/8706.6,5307.8,7321.9,0.46402,93698,38224,10.302,1,3.4666e-25,6.9331e-25,1.8611e-24,True
TRIM42-4,TRIM42,3928/3953.1/3777.7,5385/5953.8/5344,3885.5,5554.1,0.51534,8998.6,26981,10.158,1,1.5224e-24,3.0448e-24,8.1505e-24,True
CRYGB-3,CRYGB,4868.1/5167.4/4802.2,6603.6/7429.2/6548,4943.4,6848.7,0.47025,37892,35305,10.14,1,1.8282e-24,3.6565e-24,9.7607e-24,True
COPS4-3,COPS4,2861.5/2801.6/3445.8,1263.6/2198.5/1413.1,3023,1577.5,-0.93791,126940,20389,10.123,2.1788e-24,1,4.3576e-24,1.16e-23,False
PSMD6-9,PSMD6,4249.7/4349.3/4229.4,2720.9/2155.9/2738.5,4275.8,2523.2,-0.76071,4119.1,30024,10.115,2.379e-24,1,4.7579e-24,1.2631e-23,False
TRIM42-8,TRIM42,7403.2/6771.4/7098,9276.7/9341.1/9574.5,7086.2,9396.6,0.40708,99855,52791,10.056,1,4.3426e-24,8.6853e-24,2.2993e-23,True
