gene,sgRNA,B1,B2,B3,A1,A2,A3
RPL11,RPL11-5,2935,3084,1978,497,650,392
NUP98,NUP98-1,4991,5360,3429,3667,3091,3295
COPZ1,COPZ1-12,3667,3604,2468,748,1048,938
COPB1,COPB1-7,3091,3250,1895,171,237,341
RPL9,RPL9-9,2729,3083,2013,380,314,222
RPL36,RPL36-10,3328,3315,2250,754,495,609
PSMD7,PSMD7-8,3679,3516,2608,559,255,435
COPS8,COPS8-4,6276,6343,3937,2051,2246,2028
COPS8,COPS8-12,3136,3747,2462,603,658,744
NUP133,NUP133-2,3854,3869,2389,753,971,966
POLA1,POLA1-7,4243,4161,2596,1268,1337,1210
RPL34,RPL34-3,5351,5581,3384,2394,1945,2077
COPS6,COPS6-5,3311,3398,2210,1022,1157,1004
POLR2D,POLR2D-7,3232,3022,2099,980,999,728
RPL11,RPL11-1,3473,3173,2137,575,395,445
COPZ1,COPZ1-2,3451,3665,2269,1067,967,1231
PSMA3,PSMA3-3,4416,4678,2757,1737,1652,2343
COPA,COPA-9,3801,4009,2506,953,858,531
PSMD6,PSMD6-19,6300,7212,4236,3638,4998,4472
PSMD7,PSMD7-4,3399,3564,2117,606,769,657
RPL30,RPL30-7,5343,4945,3374,1722,1588,1468
COPA,COPA-2,3366,3934,2469,751,410,576
PSMC4,PSMC4-4,3085,3146,1915,540,296,368
PSMB2,PSMB2-21,4621,4896,2774,1289,1109,1219
NUP133,NUP133-1,5189,5471,3624,2512,2462,2280
RPS8,RPS8-10,3412,3416,2143,574,739,876
PSMC1,PSMC1-1,4808,4881,3347,2674,2212,2376
RPL36,RPL36-6,2869,3226,1747,148,174,198
PSMC2,PSMC2-13,4565,4758,3035,1929,2469,1890
POLR2F,POLR2F-6,7157,7557,4922,5009,4578,4809
PSMD6,PSMD6-10,5947,6569,3399,3422,3478,3432
RPL3,RPL3-9,5435,5990,3855,5612,4922,4673
COPS2,COPS2-6,3482,3097,2214,517,444,507
PSMB2,PSMB2-14,2870,2906,1923,612,514,664
