gene,fdr,stat
CNTD1,4.2112756414385647e-10,1.7267853591462767e-8
ARMCX5,0.06399583763661705,0.5627421413171951
ASCL1,0.3346684196107296,0.7998933123399536
PPP1CB,7.61339727654614e-8,3.0001563720016833e-6
MRPL3,0,0
RAB33A,0.2887755542764065,0.7888196240232948
EEF1AKMT2,0.41630296503965475,0.8128135080202845
WDR46,0,0
HIST1H2AM,0.38026941273012743,0.8076243078971944
DHX33,0,0
XAGE2,0.5176657077024573,0.824529549553889
PRLHR,0.4413364209922407,0.815863932089251
CXorf40A,0.5210788664071196,0.8250167795041028
STX18,0,0
EXOSC5,0,0
DNAJC25,0.207745083575894,0.7587793079776884
UFC1,6.910933565551369e-4,0.01974014576867078
TFDP3,0.5167969488457814,0.8244448177255506
MROH9,0.4797192680893155,0.8203058548362798
PIP5KL1,0.5032421991071367,0.822829594843042
ZNF836,0.49632535713921005,0.8221265894744866
EIF4EBP3,0.24873605437436697,0.7761315997592402
P2RY4,0.07281744746588825,0.591052502685363
CLCN7,0.20556952799025371,0.7575347001944726
C12orf40,5.5344561956648e-7,2.186709571749823e-5
TMEM30B,0.3381123310167008,0.8003938513234554
PTH,0.45269061740483396,0.8172563328125368
MAP3K19,0.41670527158388504,0.8128510074687432
IQCF5,0.43360151006145153,0.8149456987919321
CCR3,0.28430430339082924,0.787595315449698
NOBOX,0.40599110186132825,0.8113799300174286
IQCJ-SCHIP1,0.5012131156436812,0.8226121600175282
RHOA,0,0
IRS4,0.30915813175073453,0.7942040831697039
CST8,0.2762602583111108,0.7854161408848452
BAZ2B,6.836808465171568e-7,2.636107272391275e-5
LENG1,0,0
TAS2R7,0.5249975971910785,0.8256911281492122
OR52A5,0.4543179756787486,0.8174208658753266
ZSCAN10,0.21734249436366593,0.7628531573105054
PSMA2,7.022550263112056e-17,4.440892098500626e-15
ZBTB3,0.35962311156936017,0.8044042574038139
GCDH,0.01527126366920999,0.2545761297441922
GPR152,0.48701399844260623,0.8212033291199947
SSX7,1.1157560106843781e-4,0.004102871834919974
DPH5,2.0644082586869465e-11,7.84978637646816e-10
PMS1,0.4551264941596674,0.8175044420700949
OR2T34,0.27026120595923336,0.7835311540165457
FBXO8,0.13906838785447026,0.7087860946316398
KRTAP6-2,0.35132331501624886,0.8029472088511159
PDE6G,0.16099911187154423,0.7288534851462392
