gene,fdr
ACADM,0.07694103826057241
ACADS,0.045612119254134574
ACADSB,0.8317222414788479
ACADVL,0.4323484002476832
ACAN,0.9999999999760111
ACAP1,0.5965685916274135
ACAP2,0.004549562550228396
ACAP3,0.9961545756798773
ACAT1,0.4697923954941025
ACAT2,0.5781237493833853
ACBD3,0.08286954414123315
ACBD4,0.013737628756645102
ACBD5,0.3405865974639972
ACBD6,0.15987964308722252
ACBD7,0.9999999999760111
ACCS,0.9999999999760111
ACCSL,0.9999999999760111
ACD,0.01544914711455621
ACE,0.2816694161986315
ACE2,0.29466926704758023
ACER1,0.031800302280649416
ACER2,0.4091457112619401
ACER3,0.5520592282233758
ACHE,0.20997898287631128
ACIN1,0.16496415883176746
ACKR1,0.15617446949895208
ACKR2,0.06000526660056192
ACKR3,0.004046626526939699
ACKR4,0.9999999999760111
ACLY,0.05390968501420171
ACMSD,0.18578871787233578
ACO1,0.03477762283453632
ACO2,0.02608892037881516
ACOD1,0.21470157900683415
ACOT1,0.6802450671949657
ACOT11,0.9999999999760111
ACOT12,0.025316128581373828
ACOT13,0.5392139079906647
ACOT2,0.9199544687960769
ACOT4,0.22511567925312126
ACOT6,0.004402866525261326
ACOT7,0.10004942822003181
ACOT8,0.9999999999760111
ACOT9,0.9999999999760111
ACOX1,0.21702676320065026
ACOX2,0.8813772587097379
ACOX3,0.4083582659044983
ACOXL,0.30215283295114603
ACP1,0.9999999999760111
ACP2,0.04340247614234518
ACP4,0.6015912696663329
ACP5,0.9043589525221618
ACP6,0.00860460431042255
ACP7,0.25270727670593457
ACPP,0.5831015244591068
ACR,0.1660345682169838
ACRBP,0.9514204326233651
ACRV1,0.09460606441732232
ACSBG1,0.031800302280649416
ACSBG2,0.24274462514335604
ACSF2,0.8430198099332303
ACSF3,0.9374177715560505
ACSL1,0.9280535557934214
ACSL3,6.645341234696713e-4
ACSL4,0.035654461316091055
ACSL5,0.8983917718107308
ACSL6,0.9999999999760111
ACSM1,0.7976517585255478
ACSM2A,0.2994277640937593
ACSM2B,0.9856523450368705
ACSM3,0.9999999999760111
ACSM4,0.3903890852744185
ACSM5,0.7092393526275653
ACSM6,0.6815015719655002
ACSS1,0.9999999999760111
ACSS2,0.39766724712109014
ACSS3,0.2577077949368734
ACTA1,0.0407956885553207
ACTA2,0.5236283664402257
ACTB,0.007834582614412914
ACTBL2,0.11966851164463177
ACTC1,0.1109627610089511
ACTG1,0.0159288875178636
ACTG2,0.34112526846465213
ACTL10,0.08410525450188128
ACTL6A,0.027387929700967505
ACTL6B,0.6817893419848124
ACTL7A,0.9999999999760111
ACTL7B,0.9688211466124983
ACTL8,0.9216132922374872
ACTL9,0.30955341005135933
ACTN1,0.23556867509524665
ACTN2,0.1290831663278246
ACTN3,0.04155290620676614
ACTN4,0.9442392558434655
ACTR10,0.04563083678380165
ACTR1A,0.06643964535524001
ACTR1B,0.924248766894252
ACTR2,0.24531302143459816
ACTR3,0.007022086537429894
ACTR3B,0.022085955252515232
ACTR3C,0.03094071374208582
ACTR5,0.7647068752864147
ACTR6,0.08351617218522013
ACTR8,0.132051772545714
ACTRT1,0.4052812416223272
ACTRT2,0.05053615082943704
ACTRT3,0.004386485110424297
ACVR1,0.007292796609922294
ACVR1B,0.00642496477310628
ACVR1C,0.35754799526654807
ACVR2A,0.21661529462358747
ACVR2B,0.27709074085909347
ACVRL1,0.9999999999760111
ACY1,0.0801375592216585
ACY3,0.8437313437757679
ACYP1,0.28288011875087876
ACYP2,0.7928235568804497
ADA,0.8943671841104945
ADA2,0.8517649904636659
ADAD1,0.9999999999760111
ADAD2,0.07702675107887318
ADAL,0.10071385398309281
ADAM10,0.08127272283228817
ADAM11,0.04719576282667527
ADAM12,0.02644799464880079
ADAM15,0.781276896616461
ADAM17,0.47178626428313425
ADAM18,0.02831048760259485
ADAM19,0.5588907726089871
ADAM2,0.8660489750279572
ADAM20,0.9841186123522433
ADAM21,0.8268009614911596
ADAM22,0.9999999999760111
ADAM23,0.9812698489759625
ADAM28,0.30692755593948173
ADAM29,0.3340068526369213
ADAM30,0.2424579442715215
ADAM32,0.016040585200597028
ADAM33,0.4537935876990328
ADAM7,0.598275424390417
ADAM8,0.884578399610458
ADAM9,0.6008686900363005
ADAMDEC1,0.12797744989555415
