gene,fdr
MRPS25,0.004136796536796537
WDR70,0.004136796536796537
COPB2,0.004136796536796537
CSTF3,0.004136796536796537
SMC6,0.004136796536796537
PHB2,0.004136796536796537
POLE,0.004136796536796537
CHD4,0.004136796536796537
MED6,0.004136796536796537
TINF2,0.00490051282051282
NUP98,0.00490051282051282
UBE2I,0.00490051282051282
GFM2,0.007227226890756303
SUPT16H,0.007227226890756303
ANAPC11,0.007227226890756303
SMU1,0.007227226890756303
RPS16,0.007930290456431536
RRM1,0.007930290456431536
USP1,0.007930290456431536
STRAP,0.008546016260162602
COPS5,0.008546016260162602
NCBP1,0.008546016260162602
PSMB1,0.008546016260162602
TRAPPC11,0.008546016260162602
HMGA1,0.008687272727272728
MRPS2,0.008687272727272728
NOP16,0.008687272727272728
ATP5E,0.008687272727272728
WDHD1,0.008687272727272728
IARS2,0.008687272727272728
NUP58,0.008687272727272728
UTP4,0.008687272727272728
SNRNP40,0.008687272727272728
HMGCS1,0.008687272727272728
CPSF3,0.008687272727272728
VARS,0.008687272727272728
POLR1E,0.008687272727272728
UBE2D3,0.008687272727272728
WDR36,0.008687272727272728
XAB2,0.008687272727272728
FARSA,0.008687272727272728
COA6,0.008687272727272728
PSMB3,0.00923628252788104
PSMG1,0.00923628252788104
DHX37,0.00923628252788104
BUD31,0.00923628252788104
CCT8,0.00923628252788104
HSPA5,0.009909925925925924
ERCC2,0.010202135231316726
CHAF1B,0.010202135231316726
TUBGCP4,0.010202135231316726
GRPEL1,0.010202135231316726
ZNF830,0.010202135231316726
PRPF8,0.010202135231316726
DBF4,0.010202135231316726
RPL37,0.010202135231316726
PRKRIP1,0.010202135231316726
PARS2,0.010202135231316726
GTF2A2,0.010202135231316726
PPIAL4A,0.010767323943661974
HSPE1-MOB4,0.010767323943661974
MRPS7,0.010767323943661974
MRPL17,0.011353663366336635
CPSF2,0.011353663366336635
SF3B3,0.011353663366336635
NAE1,0.011353663366336635
VRK1,0.011353663366336635
ATP6V1E1,0.011353663366336635
POLR3A,0.011353663366336635
AATF,0.011353663366336635
WDR46,0.011353663366336635
PRIM1,0.011353663366336635
TWNK,0.011353663366336635
DUT,0.011353663366336635
ARPC3,0.011353663366336635
FCF1,0.011353663366336635
RPL5,0.011353663366336635
RECQL4,0.011353663366336635
SKA2,0.011353663366336635
TERF2,0.011353663366336635
TRMT5,0.011353663366336635
CEBPZ,0.011713806451612904
C12orf45,0.011713806451612904
DDX10,0.011713806451612904
OGT,0.011713806451612904
NUBP2,0.011713806451612904
FNTA,0.011713806451612904
FBL,0.011713806451612904
TAF2,0.012173248407643313
CTC1,0.012173248407643313
SFPQ,0.012173248407643313
MED31,0.012173248407643313
RBM39,0.01250317757009346
RPL7A,0.01250317757009346
BRF1,0.01250317757009346
GINS2,0.01250317757009346
U2AF1,0.01250317757009346
RPL15,0.01250317757009346
CSE1L,0.01250317757009346
MEN1,0.012780060790273556
GMNN,0.012780060790273556
C1orf109,0.012780060790273556
TIMM9,0.012780060790273556
INTS6,0.012780060790273556
PPIL1,0.012780060790273556
SETD1A,0.012780060790273556
TRRAP,0.012780060790273556
NUP85,0.0132802416918429
OXSM,0.0132802416918429
ANAPC5,0.013692179104477613
HIST1H2BC,0.013692179104477613
CLNS1A,0.013692179104477613
CDC45,0.013692179104477613
ANKRD20A1,0.014178041543026708
TBC1D3C,0.014178041543026708
VPS18,0.014658171091445425
UBE3D,0.014658171091445425
RPS23,0.015739294117647056
MED4,0.01597256484149856
FARSB,0.01597256484149856
COX7B,0.01597256484149856
UBR4,0.01597256484149856
NSA2,0.01597256484149856
RPL23,0.01597256484149856
RPS24,0.01597256484149856
MTOR,0.016689352112676057
CCDC94,0.016689352112676057
NIFK,0.016689352112676057
